Pais;Ciutat;Data;Mes;Temperatura;Estacio
Espanya;Madrid;30/06/2023;6;23,2;Estiu
Espanya;Madrid;01/07/2023;7;25,3;Estiu
Espanya;Madrid;02/07/2023;7;27,1;Estiu
Espanya;Madrid;03/07/2023;7;28,5;Estiu
Espanya;Madrid;04/07/2023;7;28;Estiu
Espanya;Madrid;05/07/2023;7;26,7;Estiu
Espanya;Madrid;06/07/2023;7;27,5;Estiu
Espanya;Madrid;07/07/2023;7;26,7;Estiu
Espanya;Madrid;08/07/2023;7;26,7;Estiu
Espanya;Madrid;09/07/2023;7;27,2;Estiu
Espanya;Madrid;10/07/2023;7;30,1;Estiu
Espanya;Madrid;11/07/2023;7;31,2;Estiu
Espanya;Madrid;12/07/2023;7;27,7;Estiu
Espanya;Madrid;13/07/2023;7;28,2;Estiu
Espanya;Madrid;14/07/2023;7;29,3;Estiu
Espanya;Madrid;15/07/2023;7;26,7;Estiu
Espanya;Madrid;16/07/2023;7;26,5;Estiu
Espanya;Madrid;17/07/2023;7;29,6;Estiu
Espanya;Madrid;18/07/2023;7;32,5;Estiu
Espanya;Madrid;19/07/2023;7;32,1;Estiu
Espanya;Madrid;20/07/2023;7;29,4;Estiu
Espanya;Madrid;21/07/2023;7;26,5;Estiu
Espanya;Madrid;22/07/2023;7;26;Estiu
Espanya;Madrid;23/07/2023;7;28;Estiu
Espanya;Madrid;24/07/2023;7;26,7;Estiu
Espanya;Madrid;25/07/2023;7;24,8;Estiu
Espanya;Madrid;26/07/2023;7;25,8;Estiu
Espanya;Madrid;27/07/2023;7;27,5;Estiu
Espanya;Madrid;28/07/2023;7;27,3;Estiu
Espanya;Madrid;29/07/2023;7;28,2;Estiu
Espanya;Madrid;30/07/2023;7;29,5;Estiu
Espanya;Madrid;31/07/2023;7;30,1;Estiu
Espanya;Madrid;01/08/2023;8;29,5;Estiu
Espanya;Madrid;02/08/2023;8;29,1;Estiu
Espanya;Madrid;03/08/2023;8;26,6;Estiu
Espanya;Madrid;04/08/2023;8;22,1;Estiu
Espanya;Madrid;05/08/2023;8;24,6;Estiu
Espanya;Madrid;06/08/2023;8;27,8;Estiu
Espanya;Madrid;07/08/2023;8;27,6;Estiu
Espanya;Madrid;08/08/2023;8;30,3;Estiu
Espanya;Madrid;09/08/2023;8;32,1;Estiu
Espanya;Madrid;10/08/2023;8;31,6;Estiu
Espanya;Madrid;11/08/2023;8;30,5;Estiu
Espanya;Madrid;12/08/2023;8;30,7;Estiu
Espanya;Madrid;13/08/2023;8;30,2;Estiu
Espanya;Madrid;14/08/2023;8;28,6;Estiu
Espanya;Madrid;15/08/2023;8;28,3;Estiu
Espanya;Madrid;16/08/2023;8;28,3;Estiu
Espanya;Madrid;17/08/2023;8;28,2;Estiu
Espanya;Madrid;18/08/2023;8;27,7;Estiu
Espanya;Madrid;19/08/2023;8;28,5;Estiu
Espanya;Madrid;20/08/2023;8;30,2;Estiu
Espanya;Madrid;21/08/2023;8;32,1;Estiu
Espanya;Madrid;22/08/2023;8;32,4;Estiu
Espanya;Madrid;23/08/2023;8;31,9;Estiu
Espanya;Madrid;24/08/2023;8;31,5;Estiu
Espanya;Madrid;25/08/2023;8;31,2;Estiu
Espanya;Madrid;26/08/2023;8;27,5;Estiu
Espanya;Madrid;27/08/2023;8;20,8;Estiu
Espanya;Madrid;28/08/2023;8;20,9;Estiu
Espanya;Madrid;29/08/2023;8;22;Estiu
Espanya;Madrid;30/08/2023;8;22,3;Estiu
Espanya;Madrid;31/08/2023;8;24;Estiu
Espanya;Madrid;01/12/2023;12;8,9;Hivern
Espanya;Madrid;02/12/2023;12;6,3;Hivern
Espanya;Madrid;03/12/2023;12;4;Hivern
Espanya;Madrid;04/12/2023;12;6,8;Hivern
Espanya;Madrid;05/12/2023;12;5,7;Hivern
Espanya;Madrid;06/12/2023;12;5,7;Hivern
Espanya;Madrid;07/12/2023;12;6,1;Hivern
Espanya;Madrid;08/12/2023;12;8,8;Hivern
Espanya;Madrid;09/12/2023;12;8,7;Hivern
Espanya;Madrid;10/12/2023;12;11;Hivern
Espanya;Madrid;11/12/2023;12;10,3;Hivern
Espanya;Madrid;12/12/2023;12;9,7;Hivern
Espanya;Madrid;13/12/2023;12;9,6;Hivern
Espanya;Madrid;14/12/2023;12;6,4;Hivern
Espanya;Madrid;15/12/2023;12;8,1;Hivern
Espanya;Madrid;16/12/2023;12;5;Hivern
Espanya;Madrid;17/12/2023;12;3,8;Hivern
Espanya;Madrid;18/12/2023;12;3,6;Hivern
Espanya;Madrid;19/12/2023;12;3,2;Hivern
Espanya;Madrid;20/12/2023;12;4,9;Hivern
Espanya;Madrid;21/12/2023;12;5,7;Hivern
Espanya;Madrid;22/12/2023;12;5,6;Hivern
Espanya;Madrid;23/12/2023;12;5;Hivern
Espanya;Madrid;24/12/2023;12;4,5;Hivern
Espanya;Madrid;25/12/2023;12;2,8;Hivern
Espanya;Madrid;26/12/2023;12;1,6;Hivern
Espanya;Madrid;27/12/2023;12;3,1;Hivern
Espanya;Madrid;28/12/2023;12;2,5;Hivern
Espanya;Madrid;29/12/2023;12;3,5;Hivern
Espanya;Madrid;30/12/2023;12;4,1;Hivern
Espanya;Madrid;31/12/2023;12;6,9;Hivern
Italia;Roma;01/01/2023;1;11;Hivern
Italia;Roma;02/01/2023;1;10,6;Hivern
