Codi_Regio,Pais,Any,Taxa_Atur
ES22,Espanya,2024,7.6
ES23,Espanya,2024,9.7
ES24,Espanya,2024,8.1
ES30,Espanya,2024,9.0
ES41,Espanya,2024,9.4
ES42,Espanya,2024,13.3
ES43,Espanya,2024,15.5
ES51,Espanya,2024,8.9
ES52,Espanya,2024,12.6
ES53,Espanya,2024,9.3
ES61,Espanya,2024,16.5
ES62,Espanya,2024,12.7
ES63,Espanya,2024,27.5
ES64,Espanya,2024,28.3
ES70,Espanya,2024,13.8
FR10,Franca,2024,8.0
FRB0,Franca,2024,5.6
FRC1,Franca,2024,6.7
FRC2,Franca,2024,5.3
FRD1,Franca,2024,7.3
FRD2,Franca,2024,7.6
FRE1,Franca,2024,9.5
FRE2,Franca,2024,7.6
FRF1,Franca,2024,6.0
FRF2,Franca,2024,7.2
FRF3,Franca,2024,8.5
FRG0,Franca,2024,6.3
FRH0,Franca,2024,5.7
FRI1,Franca,2024,6.9
FRI2,Franca,2024,5.4
FRI3,Franca,2024,5.3
FRJ1,Franca,2024,9.0
FRJ2,Franca,2024,6.2
FRK1,Franca,2024,7.8
FRK2,Franca,2024,6.8
FRL0,Franca,2024,6.9
FRM0,Franca,2024,7.2
FRY1,Franca,2024,16.8
FRY2,Franca,2024,12.3
FRY3,Franca,2024,17.0
FRY4,Franca,2024,17.3
ITC1,Italia,2024,5.4
ITC2,Italia,2024,3.9
ITC3,Italia,2024,5.4
ITC4,Italia,2024,3.7
ITF1,Italia,2024,7.1
ITF2,Italia,2024,7.9
ITF3,Italia,2024,15.6
ITF4,Italia,2024,9.3
ITF5,Italia,2024,6.7
ITF6,Italia,2024,13.1
ITG1,Italia,2024,13.0
ITG2,Italia,2024,8.3
ITH1,Italia,2024,2.0
ITH2,Italia,2024,2.7
ITH3,Italia,2024,3.0
ITH4,Italia,2024,4.3
ITH5,Italia,2024,4.3
ITI1,Italia,2024,4.0
ITI2,Italia,2024,4.8
ITI3,Italia,2024,5.1
ITI4,Italia,2024,6.3
PT11,Portugal,2024,6.6
PT15,Portugal,2024,5.8
PT19,Portugal,2024,5.8
PT1A,Portugal,2024,6.5
PT1B,Portugal,2024,8.0
PT1C,Portugal,2024,5.8
PT1D,Portugal,2024,6.7
PT20,Portugal,2024,5.6
PT30,Portugal,2024,5.7
